Date : 2024-10-29 12:06:09
Directory : d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src
Total : 690 files,  215718 codes, 11275 comments, 35175 blanks, all 262168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| WebApp\Shoep.Management\Enums                                                                                                                                                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| WebApp\Shoep.Management\Models                                                                                                                                                                                                                                 |          9 |        113 |          0 |         22 |        135 |
| WebApp\Shoep.Management\Models (Files)                                                                                                                                                                                                                         |          1 |          6 |          0 |          2 |          8 |
| WebApp\Shoep.Management\Models\Catalog                                                                                                                                                                                                                         |          3 |         53 |          0 |         10 |         63 |
| WebApp\Shoep.Management\Models\Promotion                                                                                                                                                                                                                       |          2 |         15 |          0 |          2 |         17 |
| WebApp\Shoep.Management\Models\Purchasing                                                                                                                                                                                                                      |          3 |         39 |          0 |          8 |         47 |
| WebApp\Shoep.Management\Properties                                                                                                                                                                                                                             |          1 |         38 |          0 |          1 |         39 |
| WebApp\Shoep.Management\Services                                                                                                                                                                                                                               |          1 |         18 |          0 |          6 |         24 |
| WebApp\Shoep.Management\Views                                                                                                                                                                                                                                  |         19 |        670 |          3 |         72 |        745 |
| WebApp\Shoep.Management\Views (Files)                                                                                                                                                                                                                          |          2 |          6 |          0 |          0 |          6 |
| WebApp\Shoep.Management\Views\Coupon                                                                                                                                                                                                                           |          4 |        210 |          0 |         16 |        226 |
| WebApp\Shoep.Management\Views\Home                                                                                                                                                                                                                             |          2 |         12 |          0 |          2 |         14 |
| WebApp\Shoep.Management\Views\Order                                                                                                                                                                                                                            |          2 |        102 |          0 |          6 |        108 |
| WebApp\Shoep.Management\Views\Product                                                                                                                                                                                                                          |          5 |        230 |          1 |         34 |        265 |
| WebApp\Shoep.Management\Views\Shared                                                                                                                                                                                                                           |          4 |        110 |          2 |         14 |        126 |
| WebApp\Shoep.Management\bin                                                                                                                                                                                                                                    |          5 |      2,587 |          0 |          2 |      2,589 |
| WebApp\Shoep.Management\bin\Debug                                                                                                                                                                                                                              |          5 |      2,587 |          0 |          2 |      2,589 |
| WebApp\Shoep.Management\bin\Debug\net8.0                                                                                                                                                                                                                       |          5 |      2,587 |          0 |          2 |      2,589 |
| WebApp\Shoep.Management\obj                                                                                                                                                                                                                                    |         21 |      9,312 |         28 |         58 |      9,398 |
| WebApp\Shoep.Management\obj (Files)                                                                                                                                                                                                                            |          5 |      6,630 |          0 |          0 |      6,630 |
| WebApp\Shoep.Management\obj\Debug                                                                                                                                                                                                                              |         16 |      2,682 |         28 |         58 |      2,768 |
| WebApp\Shoep.Management\obj\Debug\net8.0                                                                                                                                                                                                                       |         16 |      2,682 |         28 |         58 |      2,768 |
| WebApp\Shoep.Management\obj\Debug\net8.0 (Files)                                                                                                                                                                                                               |          9 |      1,579 |         20 |         31 |      1,630 |
| WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss                                                                                                                                                                                                             |          3 |        114 |          8 |         27 |        149 |
| WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\Views                                                                                                                                                                                                       |          1 |         38 |          2 |          9 |         49 |
| WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\Views\Shared                                                                                                                                                                                                |          1 |         38 |          2 |          9 |         49 |
| WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\bundle                                                                                                                                                                                                      |          1 |         38 |          3 |          9 |         50 |
| WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\projectbundle                                                                                                                                                                                               |          1 |         38 |          3 |          9 |         50 |
| WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets                                                                                                                                                                                                       |          4 |        989 |          0 |          0 |        989 |
| WebApp\Shoep.Management\wwwroot                                                                                                                                                                                                                                |         33 |     55,907 |      4,370 |     15,459 |     75,736 |
| WebApp\Shoep.Management\wwwroot\css                                                                                                                                                                                                                            |          1 |         18 |          0 |          4 |         22 |
| WebApp\Shoep.Management\wwwroot\js                                                                                                                                                                                                                             |          1 |          0 |          3 |          2 |          5 |
| WebApp\Shoep.Management\wwwroot\lib                                                                                                                                                                                                                            |         31 |     55,889 |      4,367 |     15,453 |     75,709 |
| WebApp\Shoep.Management\wwwroot\lib\bootstrap                                                                                                                                                                                                                  |         22 |     46,564 |      1,734 |     12,916 |     61,214 |
| WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist                                                                                                                                                                                                             |         22 |     46,564 |      1,734 |     12,916 |     61,214 |
| WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css                                                                                                                                                                                                         |         16 |     34,782 |        136 |      9,460 |     44,378 |
| WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js                                                                                                                                                                                                          |          6 |     11,782 |      1,598 |      3,456 |     16,836 |
| WebApp\Shoep.Management\wwwroot\lib\jquery                                                                                                                                                                                                                     |          2 |      6,908 |      1,912 |      2,031 |     10,851 |
| WebApp\Shoep.Management\wwwroot\lib\jquery-validation                                                                                                                                                                                                          |          5 |      2,114 |        638 |        452 |      3,204 |
| WebApp\Shoep.Management\wwwroot\lib\jquery-validation (Files)                                                                                                                                                                                                  |          1 |         18 |          0 |          5 |         23 |
| WebApp\Shoep.Management\wwwroot\lib\jquery-validation-unobtrusive                                                                                                                                                                                              |          2 |        303 |         83 |         54 |        440 |
| WebApp\Shoep.Management\wwwroot\lib\jquery-validation\dist                                                                                                                                                                                                     |          4 |      2,096 |        638 |        447 |      3,181 |
| WebApp\Shoep.Management\wwwroot\lib\jquery\dist                                                                                                                                                                                                                |          2 |      6,908 |      1,912 |      2,031 |     10,851 |
| WebApp\Shoep.Shop                                                                                                                                                                                                                                              |         86 |     34,423 |        742 |      6,014 |     41,179 |
| WebApp\Shoep.Shop (Files)                                                                                                                                                                                                                                      |          4 |         95 |          2 |         19 |        116 |
| WebApp\Shoep.Shop\Models                                                                                                                                                                                                                                       |          6 |        105 |          3 |         25 |        133 |
| WebApp\Shoep.Shop\Models\Basket                                                                                                                                                                                                                                |          2 |         39 |          2 |         11 |         52 |
| WebApp\Shoep.Shop\Models\Catalog                                                                                                                                                                                                                               |          2 |         27 |          0 |          5 |         32 |
| WebApp\Shoep.Shop\Models\Purchasing                                                                                                                                                                                                                            |          2 |         39 |          1 |          9 |         49 |
| WebApp\Shoep.Shop\Pages                                                                                                                                                                                                                                        |         23 |      2,434 |          9 |        125 |      2,568 |
| WebApp\Shoep.Shop\Pages (Files)                                                                                                                                                                                                                                |         20 |      2,208 |          1 |        104 |      2,313 |
| WebApp\Shoep.Shop\Pages\Shared                                                                                                                                                                                                                                 |          3 |        226 |          8 |         21 |        255 |
| WebApp\Shoep.Shop\Properties                                                                                                                                                                                                                                   |          1 |         38 |          0 |          1 |         39 |
| WebApp\Shoep.Shop\Services                                                                                                                                                                                                                                     |          2 |         46 |          0 |         11 |         57 |
| WebApp\Shoep.Shop\wwwroot                                                                                                                                                                                                                                      |         50 |     31,705 |        728 |      5,833 |     38,266 |
| WebApp\Shoep.Shop\wwwroot\css                                                                                                                                                                                                                                  |         14 |     17,749 |        153 |      3,786 |     21,688 |
| WebApp\Shoep.Shop\wwwroot\fonts                                                                                                                                                                                                                                |          3 |      3,924 |          0 |          1 |      3,925 |
| WebApp\Shoep.Shop\wwwroot\js                                                                                                                                                                                                                                   |         16 |      2,518 |        297 |        592 |      3,407 |
| WebApp\Shoep.Shop\wwwroot\js (Files)                                                                                                                                                                                                                           |         13 |      2,513 |        286 |        592 |      3,391 |
| WebApp\Shoep.Shop\wwwroot\js\vendor                                                                                                                                                                                                                            |          3 |          5 |         11 |          0 |         16 |
| WebApp\Shoep.Shop\wwwroot\lib                                                                                                                                                                                                                                  |          3 |        321 |         83 |         59 |        463 |
| WebApp\Shoep.Shop\wwwroot\lib\jquery-validation                                                                                                                                                                                                                |          1 |         18 |          0 |          5 |         23 |
| WebApp\Shoep.Shop\wwwroot\lib\jquery-validation-unobtrusive                                                                                                                                                                                                    |          2 |        303 |         83 |         54 |        440 |
| WebApp\Shoep.Shop\wwwroot\scss                                                                                                                                                                                                                                 |         14 |      7,193 |        195 |      1,395 |      8,783 |
| WebApp\Shoep.Shop\wwwroot\scss (Files)                                                                                                                                                                                                                         |          1 |         13 |          2 |          2 |         17 |
| WebApp\Shoep.Shop\wwwroot\scss\theme                                                                                                                                                                                                                           |         13 |      7,180 |        193 |      1,393 |      8,766 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                                                                       | language      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\codeStyles\codeStyleConfig.xml                                                                                                                                                      | XML           |          5 |          0 |          0 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\dataSources.xml                                                                                                                                                                     | XML           |         29 |          0 |          0 |         29 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\encodings.xml                                                                                                                                                                       | XML           |          4 |          0 |          0 |          4 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\indexLayout.xml                                                                                                                                                                     | XML           |          8 |          0 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\misc.xml                                                                                                                                                                            | XML           |         10 |          0 |          0 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\vcs.xml                                                                                                                                                                             | XML           |          6 |          0 |          0 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\Docker\docker-compose.generated.override.yml                                                                                                                                              | YAML          |        116 |          1 |          1 |        118 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.vs\eShoep\v17\DocumentLayout.json                                                                                                                                                                           | JSON          |        779 |          0 |          0 |        779 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\ApiGateWay\Dockerfile                                                                                                                                                                                        | Docker        |         20 |          0 |          4 |         24 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\ApiGateWay\appsettings.local.json                                                                                                                                                                            | JSON          |          9 |          0 |          0 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\Common.Messaging.csproj                                                                                                                                                              | XML           |         10 |          0 |          3 |         13 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\Events\CartCheckoutEvent.cs                                                                                                                                                          | C#            |         19 |          2 |          3 |         24 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\Events\IntegrationEvent.cs                                                                                                                                                           | C#            |          7 |          0 |          1 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\MassTransit\Extentions.cs                                                                                                                                                            | C#            |         28 |          0 |          5 |         33 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\bin\Debug\net8.0\Common.Messaging.deps.json                                                                                                                                          | JSON          |        307 |          0 |          0 |        307 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Common.Messaging.csproj.nuget.dgspec.json                                                                                                                                        | JSON          |         75 |          0 |          0 |         75 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Common.Messaging.csproj.nuget.g.props                                                                                                                                            | XML           |         15 |          0 |          0 |         15 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Common.Messaging.csproj.nuget.g.targets                                                                                                                                          | XML           |          7 |          0 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                                                                                                      | C#            |          3 |          1 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.AssemblyInfo.cs                                                                                                                                    | C#            |          9 |          9 |          5 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.GeneratedMSBuildEditorConfig.editorconfig                                                                                                          | Properties    |         13 |          0 |          1 |         14 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.GlobalUsings.g.cs                                                                                                                                  | C#            |          7 |          1 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.sourcelink.json                                                                                                                                    | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\project.assets.json                                                                                                                                                              | JSON          |        878 |          0 |          0 |        878 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\project.packagespec.json                                                                                                                                                         | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Behaviors\LoggingBehavior.cs                                                                                                                                                                   | C#            |         25 |          0 |          7 |         32 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Behaviors\ValidationBehavior.cs                                                                                                                                                                | C#            |         21 |          0 |          6 |         27 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\ICommand.cs                                                                                                                                                                               | C#            |          8 |          0 |          3 |         11 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\ICommandHandler.cs                                                                                                                                                                        | C#            |         13 |          0 |          3 |         16 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\IQuery.cs                                                                                                                                                                                 | C#            |          6 |          0 |          2 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\IQueryHandler.cs                                                                                                                                                                          | C#            |          8 |          0 |          2 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Common.csproj                                                                                                                                                                                  | XML           |         15 |          0 |          4 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\BadRequestException.cs                                                                                                                                                              | C#            |         12 |          0 |          3 |         15 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\CustomExceptionHandler.cs                                                                                                                                                           | C#            |         56 |          0 |          7 |         63 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\InternalServerException.cs                                                                                                                                                          | C#            |         12 |          0 |          3 |         15 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\NotFoundException.cs                                                                                                                                                                | C#            |         10 |          0 |          2 |         12 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Pagination\PaginatedResult.cs                                                                                                                                                                  | C#            |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Pagination\PaginationRequest.cs                                                                                                                                                                | C#            |          2 |          0 |          1 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\bin\Debug\net8.0\Common.deps.json                                                                                                                                                              | JSON          |        324 |          0 |          0 |        324 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Common.csproj.nuget.dgspec.json                                                                                                                                                            | JSON          |         95 |          0 |          0 |         95 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Common.csproj.nuget.g.props                                                                                                                                                                | XML           |         15 |          0 |          0 |         15 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Common.csproj.nuget.g.targets                                                                                                                                                              | XML           |          2 |          0 |          0 |          2 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                                                                                                                | C#            |          3 |          1 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.AssemblyInfo.cs                                                                                                                                                        | C#            |          9 |          9 |          5 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.GeneratedMSBuildEditorConfig.editorconfig                                                                                                                              | Properties    |         13 |          0 |          1 |         14 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.GlobalUsings.g.cs                                                                                                                                                      | C#            |          7 |          1 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.sourcelink.json                                                                                                                                                        | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\project.assets.json                                                                                                                                                                        | JSON          |        784 |          0 |          0 |        784 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\project.packagespec.json                                                                                                                                                                   | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\ApiGateWay.csproj                                                                                                                                                                         | XML           |         24 |          0 |          6 |         30 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\Dockerfile                                                                                                                                                                                | Docker        |         20 |          1 |          4 |         25 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\Program.cs                                                                                                                                                                                | C#            |         16 |          2 |          7 |         25 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\Properties\launchSettings.json                                                                                                                                                            | JSON          |         45 |          0 |          0 |         45 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\appsettings.Development.json                                                                                                                                                              | JSON          |          8 |          0 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\appsettings.json                                                                                                                                                                          | JSON          |         70 |          0 |          0 |         70 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\appsettings.local.json                                                                                                                                                                    | JSON          |         70 |          0 |          0 |         70 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\ApiGateWay.deps.json                                                                                                                                                     | JSON          |         68 |          0 |          0 |         68 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\ApiGateWay.runtimeconfig.json                                                                                                                                            | JSON          |         19 |          0 |          0 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\appsettings.Development.json                                                                                                                                             | JSON          |          8 |          0 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\appsettings.json                                                                                                                                                         | JSON          |         58 |          0 |          0 |         58 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\appsettings.local.json                                                                                                                                                   | JSON          |         58 |          0 |          0 |         58 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\ApiGateWay.csproj.nuget.dgspec.json                                                                                                                                                   | JSON          |         82 |          0 |          0 |         82 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\ApiGateWay.csproj.nuget.g.props                                                                                                                                                       | XML           |         21 |          0 |          0 |         21 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\ApiGateWay.csproj.nuget.g.targets                                                                                                                                                     | XML           |          6 |          0 |          0 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                                                                                                           | C#            |          3 |          1 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.AssemblyInfo.cs                                                                                                                                               | C#            |         10 |          9 |          5 |         24 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.GeneratedMSBuildEditorConfig.editorconfig                                                                                                                     | Properties    |         19 |          0 |          1 |         20 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.GlobalUsings.g.cs                                                                                                                                             | C#            |         16 |          1 |          1 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.sourcelink.json                                                                                                                                               | JSON          |          1 |          0 |          0 |          1 |
